label,clients,pipeline,get_ratio,requests,seconds,req_per_s,p50_us,p90_us,p99_us,p999_us,errors
poll x10 / 50 clients,50,1,0.90,1000000,5.032,198742,149.0,359.3,1333.0,4701.3,0
poll x10 / 50 clients / pipeline 32,50,32,0.90,4000000,0.862,4637870,231.9,484.2,1003.6,3130.6,0
poll x10 / 500 clients,500,1,0.90,1000000,4.770,209628,1416.7,4313.1,12251.6,32072.1,0
poll x10 / 2000 clients,2000,1,0.90,1000000,4.852,206086,6655.9,15643.5,39568.0,68962.3,0
event x10 / 50 clients,50,1,0.90,1000000,4.772,209573,214.8,298.3,631.3,3442.8,0
event x10 / 50 clients / pipeline 32,50,32,0.90,4000000,0.854,4684755,200.2,507.7,1125.6,3124.2,0
event x10 / 500 clients,500,1,0.90,1000000,4.197,238237,1408.2,3250.4,7650.8,15778.2,0
event x10 / 2000 clients,2000,1,0.90,1000000,4.963,201492,9497.0,10561.3,24156.5,71783.2,0
